yyyy,mm,maxC,minC
1880,1,4.2,-1.4
1880,2,8.7,0.6
1880,3,9.2,1
1880,4,11.6,2.7
1880,5,14.1,3.7
1880,6,17.7,7.7
1880,7,19.2,10.1
1880,8,19.8,10.9
1880,9,18.9,8.9
1880,10,10.1,2.9
1880,11,8.2,0.1
1880,12,6.3,0.4
1881,1,1.5,-5.7
1881,2,4.1,-1.2
1881,3,7.8,-0.6
1881,4,9.7,1.1
1881,5,15.9,4.6
1881,6,18.4,7.3
1881,7,20.9,10.6
1881,8,17.7,9.1
1881,9,15.3,8.4
1881,10,10.3,3.6
1881,11,10.5,4.5
1881,12,5.9,0.7
1882,1,7.3,2
1882,2,8.9,2.2
1882,3,11.1,2.2
1882,4,10.2,2.9
1882,5,15.6,4.4
1882,6,17.6,7.8
1882,7,20.2,10.2
1882,8,19.9,9.8
1882,9,15.8,6.8
1882,10,12.3,6.3
1882,11,7.3,1.8
1882,12,3.8,-0.4
1883,1,5.5,0.7
1883,2,8.1,1.5
1883,3,5.5,-2.3
1883,4,12.2,1.8
1883,5,14.3,4.1
1883,6,17.5,7.9
1883,7,19.2,9.2
1883,8,20.3,9.4
1883,9,16,8.9
1883,10,12.5,4.7
1883,11,8.3,2.4
1883,12,5.9,0.8
1884,1,8.2,2.6
1884,2,7.2,1.1
1884,3,9.4,1.7
1884,4,10.5,2
1884,5,15.6,4.4
1884,6,18.6,7.3
1884,7,20.9,9.8
1884,8,22,9.6
1884,9,17.7,8.5
1884,10,12.8,4.4
1884,11,8.4,1.9
1884,12,5.9,0.8
1885,1,4.2,0.1
1885,2,7.6,1.1
1885,3,7.5,-0.1
1885,4,11.4,2.4
1885,5,12.2,3.1
1885,6,17.8,7.6
1885,7,21.4,9.7
1885,8,16.5,8.7
1885,9,16.2,6.2
1885,10,9.8,3.7
1885,11,7.9,2.4
1885,12,6.3,-0.1
1886,1,3.8,-1.4
1886,2,4,-1.8
1886,3,6.5,-0.1
1886,4,10,2.4
1886,5,12.9,4.7
1886,6,17.5,7.7
1886,7,20.8,10.3
1886,8,19.9,10.3
1886,9,16.4,8.6
1886,10,12.9,7.3
1886,11,9.2,2.5
1886,12,3.7,-1.4
1887,1,4.4,-1.1
1887,2,7.4,0.1
1887,3,7.7,-0.5
1887,4,10.4,0.9
1887,5,12.4,4.3
1887,6,20.3,9.1
1887,7,23,11.2
1887,8,20.4,9.1
1887,9,15,6.9
1887,10,10.3,3.3
1887,11,6.6,1.5
1887,12,4.7,-0.1
1888,1,6,0.3
1888,2,4.2,-0.4
1888,3,4.9,-0.3
1888,4,9.3,1.8
1888,5,15,4.6
1888,6,15.1,7
1888,7,16.7,8.6
1888,8,17.6,9
1888,9,15.4,6.7
1888,10,12.1,4.1
1888,11,9.1,4.4
1888,12,6.9,1.3
1889,1,6.4,0.6
1889,2,5.6,-0.5
1889,3,8,0.3
1889,4,9.7,2.6
1889,5,17,7
1889,6,20,9
1889,7,19.4,9.5
1889,8,18.3,10.4
1889,9,15.8,7.8
1889,10,11.2,5.2
1889,11,8.8,2.6
1889,12,5.7,-0.2
1890,1,8,1.9
1890,2,5.8,0.3
1890,3,9.8,2.5
1890,4,10.6,1.4
1890,5,15.2,6
1890,6,18.2,8.5
1890,7,18.7,9.6
1890,8,18.4,9.4
1890,9,19.8,10.3
1890,10,13.2,6
1890,11,8.5,1.1
1890,12,2.7,-1.4
1891,1,4.6,-1.7
1891,2,9.3,0
1891,3,6.7,-0.1
1891,4,8.9,1.2
1891,5,13.2,3.6
1891,6,18.1,8.9
1891,7,19.5,10.6
1891,8,17.9,10
1891,9,17.6,9.1
1891,10,12.3,4.9
1891,11,7.5,2.2
1891,12,5.6,-0.5
1892,1,4.4,-1.4
1892,2,5.6,-0.6
1892,3,6.6,-1.9
1892,4,11.4,1
1892,5,15.2,5.4
1892,6,17.2,7.4
1892,7,17.3,9.2
1892,8,18.5,9.9
1892,9,15.3,7.5
1892,10,9.7,2.9
1892,11,8.5,2.6
1892,12,3.8,-1.9
1893,1,4.7,-0.4
1893,2,6.4,0.5
1893,3,12.1,1.7
1893,4,13.9,2.5
1893,5,16.8,6.3
1893,6,19.5,9.5
1893,7,20,10.2
1893,8,22.1,11.6
1893,9,16.6,7.4
1893,10,13.7,4.9
1893,11,8.3,1.7
1893,12,7.6,1.5
1894,1,5.2,-0.6
1894,2,7.5,0.1
1894,3,11.5,0.7
1894,4,13,3.3
1894,5,11.9,3.4
1894,6,16.9,7.7
1894,7,20.7,10.9
1894,8,18,9.3
1894,9,14.5,6.9
1894,10,11.3,4.3
1894,11,10,4.5
1894,12,7,0.8
1895,1,1.7,-3.7
1895,2,2.1,-4.8
1895,3,8.2,0.8
1895,4,12,3.1
1895,5,16.5,5.5
1895,6,19.6,7.4
1895,7,19.2,9.8
1895,8,20.1,10.9
1895,9,20.5,9.4
1895,10,10.5,2.4
1895,11,9.6,3.2
1895,12,5.4,0.2
1896,1,7.2,1.5
1896,2,7.6,1.1
1896,3,10.1,1.6
1896,4,13.5,3.8
1896,5,16.4,5.2
1896,6,20.9,9.8
1896,7,21,10.1
1896,8,17.7,9.7
1896,9,15.6,8.5
1896,10,9.4,2.7
1896,11,7.5,1.5
1896,12,5.6,0.7
1897,1,3.3,-1.2
1897,2,7.5,1.7
1897,3,8.7,1.9
1897,4,9.9,1.7
1897,5,12.9,3.8
1897,6,17.9,9
1897,7,20.8,10.2
1897,8,21.4,10.8
1897,9,15.6,6.6
1897,10,13.3,5.6
1897,11,9.7,4.2
1897,12,6.9,0.9
1898,1,9.3,3
1898,2,7.5,0.3
1898,3,8,0.1
1898,4,12.1,3.3
1898,5,12.9,4.1
1898,6,17.6,7.9
1898,7,20,8.9
1898,8,20.5,10.4
1898,9,19.3,9.8
1898,10,14.2,7.5
1898,11,9.4,2.9
1898,12,9.6,2.9
1899,1,6.3,0.6
1899,2,7.3,-0.5
1899,3,9.2,0.2
1899,4,11.3,2.6
1899,5,12.4,4.2
