yyyy,mm,maxC,minC
1948,1,8.9,3.3
1948,2,7.9,2.2
1948,3,14.2,3.8
1948,4,15.4,5.1
1948,5,18.1,6.9
1948,6,19.1,10.3
1948,7,21.7,12
1948,8,20.8,11.7
1948,9,19.6,10.2
1948,10,14.9,6
1948,11,10.8,4.6
1948,12,8.8,3.8
1949,1,8.5,1.8
1949,2,10.4,0.6
1949,3,9.3,1.2
1949,4,16.2,6
1949,5,17.1,6.8
1949,6,22,10.5
1949,7,25.1,12.9
1949,8,23.9,12.5
1949,9,22.8,13.3
1949,10,17,8.6
1949,11,10.2,2.9
1949,12,9.2,2.9
1950,1,7.1,1.7
1950,2,9.9,2.4
1950,3,12.3,3.5
1950,4,12.9,4.2
1950,5,17.2,7.6
1950,6,23.6,12.3
1950,7,21.6,12.9
1950,8,21.9,12.1
1950,9,17.6,10.2
1950,10,14,6.1
1950,11,9.3,3.3
1950,12,3.8,-1
1951,1,7.3,1.5
1951,2,7,0.8
1951,3,8.4,1.7
1951,4,12.3,3
1951,5,15,7
1951,6,20.5,10
1951,7,23,12.9
1951,8,20.2,12.3
1951,9,19.2,11.3
1951,10,14.6,6
1951,11,11.8,6.2
1951,12,8.9,3.1
1952,1,6.2,0.4
1952,2,6.7,-0.3
1952,3,10.6,3.8
1952,4,15.6,5.8
1952,5,19.6,9.4
1952,6,20.9,10.9
1952,7,23.3,13.4
1952,8,21.6,13.3
1952,9,16.4,7.6
1952,10,13.2,5.7
1952,11,7.5,1.6
1952,12,5.8,-0.2
1953,1,5.6,0.6
1953,2,7.5,1
1953,3,11.1,1
1953,4,13.1,4.3
1953,5,18.7,8.9
1953,6,19.8,10.8
1953,7,21,12.1
1953,8,22.6,12.6
1953,9,19.5,9.8
1953,10,14.7,7.1
1953,11,11.3,5.2
1953,12,10,5.1
1954,1,5.9,0.3
1954,2,6.1,0.4
1954,3,10.4,3
1954,4,13.2,2.8
1954,5,16.8,7.6
1954,6,18.6,10.7
1954,7,19.2,11.7
1954,8,19.8,11.5
1954,9,18,9.6
1954,10,16.2,8.9
1954,11,11.2,3.6
1954,12,9.7,3.4
1955,1,5.6,0.4
1955,2,5,-0.8
1955,3,7.9,0.2
1955,4,15.2,5.1
1955,5,15.5,6.4
1955,6,20,11.1
1955,7,24.4,13.1
1955,8,24.3,13.6
1955,9,19.9,9.9
1955,10,13.5,5.3
1955,11,10.7,4.2
1955,12,9.5,2.3
1956,1,7,0.5
1956,2,2.9,-3.6
1956,3,11,2.7
1956,4,12.1,2.4
1956,5,19.1,7.1
1956,6,18.5,9.6
1956,7,20.9,12.8
1956,8,18.8,10.9
1956,9,19.2,11.7
1956,10,13.8,6
1956,11,9.3,2.5
1956,12,8.2,3.5
1957,1,8.7,2.7
1957,2,9,2.9
1957,3,13.9,5.7
1957,4,14.2,5.2
1957,5,16.2,6.5
1957,6,23.6,10.7
1957,7,22.5,13.8
1957,8,21.1,12.5
1957,9,17.6,10.1
1957,10,15.5,7.7
1957,11,9.4,4.3
1957,12,7.6,1
1958,1,6.8,0.9
1958,2,8.9,1.9
1958,3,8.1,1.1
1958,4,12.3,3.8
1958,5,17.3,7.8
1958,6,19.4,10.7
1958,7,21.7,12.9
1958,8,20.8,13.1
1958,9,20,12.1
1958,10,14.9,8.3
1958,11,9.7,4.4
1958,12,8,2.7
1959,1,5.7,-1.1
1959,2,7.4,1.2
1959,3,11.9,4.4
1959,4,14.2,6.3
1959,5,18.7,8
1959,6,22.1,11.1
1959,7,24.7,13.3
1959,8,24.2,13.7
1959,9,22.7,10.6
1959,10,17.8,8.5
1959,11,10.8,3.5
1959,12,9.3,3
1960,1,6.9,1.8
1960,2,7.9,1.6
1960,3,10.2,4.5
1960,4,14.3,4.6
1960,5,18.4,9.3
1960,6,22.1,12.1
1960,7,20.1,12.4
1960,8,20.3,11.8
1960,9,18.5,10.5
1960,10,14.2,8.2
1960,11,11.2,4.5
1960,12,6.9,2.1
1961,1,6.9,1.2
1961,2,10.3,4.9
1961,3,13.9,2.9
1961,4,15,7.1
1961,5,16.8,7.4
1961,6,21.7,10.5
1961,7,22.1,12.1
1961,8,21.7,12.6
1961,9,20.9,12
1961,10,15.6,7.6
1961,11,9.9,3.5
1961,12,6.8,0.2
1962,1,7.9,1.2
1962,2,7.6,1.4
1962,3,7.4,-0.6
1962,4,12.7,4.7
1962,5,15,7.1
1962,6,20.4,9.4
1962,7,20.6,12.1
1962,8,20,11.6
1962,9,17.8,9.6
1962,10,15.7,7.1
1962,11,9.1,3.2
1962,12,5,-1.1
1963,1,0.8,-4.6
1963,2,2.8,-2.2
1963,3,10.7,3
1963,4,13.6,5.7
1963,5,16,6.9
1963,6,20.8,11.3
1963,7,21.1,11.9
1963,8,19.8,11.7
1963,9,18,10.1
1963,10,14.8,8.2
1963,11,11.8,6
1963,12,5.4,0
1964,1,5.8,0.4
1964,2,7.6,2
1964,3,7.6,2.6
1964,4,12.8,5.4
1964,5,19.6,9.8
1964,6,19.3,11.2
1964,7,22.8,13.5
1964,8,22.3,12.7
1964,9,21.1,10.6
1964,10,13.7,5.3
1964,11,11.2,5.3
1964,12,7.1,0.9
1965,1,6.6,1
1965,2,5.9,0.9
1965,3,10.5,2.2
1965,4,13.4,4.8
1965,5,16.8,8.6
1965,6,19.7,11
1965,7,19.3,11.7
1965,8,20.8,11.9
1965,9,17.4,9.2
1965,10,16.2,7.5
1965,11,8.4,2.2
1965,12,8.4,1.7
1966,1,5.3,1
1966,2,9.3,4.4
1966,3,10.9,2.6
1966,4,12.2,5.4
1966,5,17,7.5
1966,6,21.8,12.2
1966,7,20.1,12.2
1966,8,20.6,11.6
1966,9,19.6,10.8
1966,10,14.7,8.6
1966,11,8.8,2.9
1966,12,9.3,2.2
1967,1,7.3,2.1
1967,2,9.3,2.6
1967,3,11.6,3.7
1967,4,12.5,4.4
1967,5,15.6,7.8
1967,6,20.1,10.3
1967,7,23.5,13.8
1967,8,21.5,12.7
1967,9,18.5,11.1
1967,10,15,8.8
1967,11,9.7,2.6
1967,12,7.2,1.3
1968,1,7.2,1.3
1968,2,5.7,0.2
1968,3,11.1,3.5
1968,4,13.7,4.4
1968,5,15.4,7
1968,6,20.6,11.5
1968,7,20.7,12.6
1968,8,20.2,12.6
1968,9,18.8,11.6
1968,10,16.5,10.7
1968,11,9.5,4.8
1968,12,5.4,1
1969,1,8.9,3.4
1969,2,4.9,-0.9
1969,3,8,1.3
1969,4,13.6,3.9
1969,5,17.1,8.6
1969,6,20.6,10.2
1969,7,23.9,13.9
1969,8,21.8,13.6
1969,9,19.6,11.7
1969,10,18.2,9.9
1969,11,9.6,3.3
1969,12,6.1,1.4
1970,1,7.1,2.1
1970,2,7.2,0.8
1970,3,8.1,0.7
1970,4,11.4,3.7
1970,5,19.2,9.2
1970,6,23.6,12.7
1970,7,21.3,12.3
1970,8,22.3,13
1970,9,20.3,11.4
1970,10,15.7,8.1
1970,11,11.9,5.5
1970,12,7,1.7
1971,1,7.8,2.8
1971,2,8.6,1.9
1971,3,9.1,2.3
1971,4,12.2,4.8
1971,5,18.1,8.2
1971,6,17.8,10.1
1971,7,24.1,13.8
1971,8,21.3,13.5
1971,9,20.7,10.2
1971,10,17.2,8.1
1971,11,10.4,3
1971,12,9.3,4.5
1972,1,6.9,2.1
1972,2,7.9,2.6
1972,3,12.4,3.3
1972,4,12.9,5.7
1972,5,16,7.6
1972,6,17.5,9
1972,7,22.3,12.7
1972,8,21.8,12.1
1972,9,17.3,9
1972,10,15.6,8.5
1972,11,9.9,3.2
1972,12,9.4,3.5
1973,1,7.3,2
1973,2,8.1,0.7
1973,3,11.5,2.2
1973,4,12.5,3.9
1973,5,16.9,8.6
1973,6,21.9,11.6
1973,7,21.4,12.7
1973,8,23.7,13.8
1973,9,20.7,11.6
1973,10,13.9,6.1
1973,11,10.3,2.5
1973,12,8.6,2.1
1974,1,9.6,3.6
1974,2,9.2,3
1974,3,10.3,2.8
1974,4,14,4.7
1974,5,17,7.5
1974,6,20.1,10.6
1974,7,20.9,12.5
1974,8,21.5,12.1
1974,9,17.5,9.5
1974,10,11,5
1974,11,10.6,5
1974,12,11,5.6
1975,1,10.3,4.5
1975,2,9.3,1.9
1975,3,8.4,2.8
1975,4,13.3,5
1975,5,15.1,6.9
1975,6,21.8,10.4
1975,7,24.1,14.1
1975,8,25.9,15
1975,9,19.5,10.6
1975,10,14.4,7
1975,11,10.1,3.2
1975,12,7.6,1.5
1976,1,8.8,3
1976,2,7.8,2.3
1976,3,9.5,2
1976,4,13.7,4.3
1976,5,19.3,8.9
1976,6,25.5,13.7
1976,7,26.6,14.9
1976,8,25.1,13.2
1976,9,19,11.2
1976,10,14.9,8.8
1976,11,9.9,3.5
1976,12,5.6,-0.2
1977,1,6.1,0.8
1977,2,9.6,3.4
1977,3,11.2,4.5
1977,4,12.2,4.1
1977,5,16.4,7.2
1977,6,17.4,9.6
1977,7,22.4,12.7
1977,8,20.3,13
1977,9,18,10.7
1977,10,16.3,9
1977,11,10.4,4.6
1977,12,9.2,4.1
1978,1,6.7,0.7
1978,2,6.2,0.7
1978,3,11.3,3.5
1978,4,10.7,3.9
1978,5,17.2,7.9
1978,6,19.7,10.7
1978,7,20.5,12.7
1978,8,20.7,12.1
1978,9,20.1,10.8
1978,10,17.1,8.4
1978,11,12.6,6.2
1978,12,7.8,2.6
1979,1,3.8,-2.6
1979,2,4.5,-0.4
1979,3,9.2,2
1979,4,12.7,4.8
1979,5,15.9,7.2
1979,6,19,11.1
1979,7,22.5,13.4
1979,8,21,12.2
1979,9,19.6,10.3
1979,10,16.4,8.8
1979,11,10.8,3.5
1979,12,9.2,3.9
1980,1,6,-0.1
1980,2,9.9,2.9
1980,3,9,2.4
1980,4,14,5.4
1980,5,17.3,7.4
1980,6,19.8,10.9
1980,7,19.7,11.9
1980,8,21.9,13.3
1980,9,20.1,12
1980,10,14,5.8
1980,11,9.3,4.5
1980,12,8.9,2.7
1981,1,8.1,2
1981,2,7.1,-0.1
1981,3,11.8,6.5
1981,4,12.9,4.9
1981,5,16.1,8.4
1981,6,18.5,10.4
1981,7,22,12.8
1981,8,22.8,13
1981,9,20.3,11.3
1981,10,12.9,5.8
1981,11,11.5,5.1
1981,12,4.4,-1.5
1982,1,6.9,0.4
1982,2,8.4,2.4
1982,3,11.1,2.5
1982,4,14.3,5
1982,5,18,7.6
1982,6,21.5,12.8
1982,7,22.7,13.4
1982,8,22.2,12.9
1982,9,20.8,11.1
1982,10,14.1,7.8
1982,11,11.4,6.2
1982,12,8.2,1.9
1983,1,10,4.3
1983,2,5.5,-0.5
1983,3,10.8,3
