yyyy,mm,maxC,minC
1957,1,9.1,2.5
1957,2,9.6,2.7
1957,3,12.9,5.5
1957,4,14.2,4.4
1957,5,16.1,5.5
1957,6,22.2,8.8
1957,7,21.6,12.9
1957,8,20.6,11.7
1957,9,17.8,9.6
1957,10,15.9,6.6
1957,11,9.7,3.1
1957,12,8.6,0.5
1958,1,7.8,0.5
1958,2,9.8,2.7
1958,3,8.4,0.5
1958,4,12.2,2.2
1958,5,15.8,7
1958,6,18.1,9.9
1958,7,20.5,11.7
1958,8,19.7,12.3
1958,9,19.5,11.2
1958,10,15.3,8.4
1958,11,10.3,3.5
1958,12,9,2.4
1959,1,6.9,-1
1959,2,7.4,0.9
1959,3,11.5,3.7
1959,4,13.7,5.7
1959,5,18.6,6.9
1959,6,20.8,9.5
1959,7,23.2,11
1959,8,22.9,11.3
1959,9,22.7,7.8
1959,10,17.7,7.4
1959,11,11.7,3.4
1959,12,10.2,3.4
1960,1,7.5,1.7
1960,2,8,1
1960,3,10.2,4.1
1960,4,14,4.5
1960,5,17.4,7.7
1960,6,21,10.6
1960,7,19.9,11.3
1960,8,19.6,11
1960,9,17.7,9.7
1960,10,14.4,7.4
1960,11,11.9,4
1960,12,7.6,1
1961,1,7.9,1.3
1961,2,10.3,5.2
1961,3,13.3,1.7
1961,4,14.1,7
1961,5,16.4,5.3
1961,6,20.1,8.5
1961,7,21.3,10.1
1961,8,21,11.2
1961,9,20.1,10.6
1961,10,15.8,7.3
1961,11,10,3.5
1961,12,7.4,0.2
1962,1,8.3,1.8
1962,2,8.2,1.2
1962,3,7.6,-1.6
1962,4,12.3,3.8
1962,5,13.6,5.7
1962,6,18.8,7.8
1962,7,19.8,10.6
1962,8,19.8,10.6
1962,9,17.4,7.8
1962,10,15.6,5.7
1962,11,9.5,2.3
1962,12,6.1,-1.1
1963,1,0.4,-6.1
1963,2,2.6,-2.7
1963,3,9.3,2.1
1963,4,12.5,5.2
1963,5,15.2,5.7
1963,6,19,10.3
1963,7,19.6,10.5
1963,8,19.3,10.9
1963,9,17.8,9.2
1963,10,14.8,7.8
1963,11,12.4,6
1963,12,5.8,-1.1
1964,1,6.4,1.2
1964,2,7.9,1.9
1964,3,8.1,2.5
1964,4,11.9,5.1
1964,5,17.1,8.8
1964,6,18,10.2
1964,7,21.6,11.6
1964,8,21.2,10.6
1964,9,20.2,9
1964,10,13.8,4.1
1964,11,11.6,4.4
1964,12,7.7,0
1965,1,7.3,0.7
1965,2,6.5,-0.8
1965,3,9.9,1.5
1965,4,13,3.5
1965,5,15.6,7.3
1965,6,18.3,9.4
1965,7,18.7,11.1
1965,8,19.7,11.1
1965,9,16.5,8.1
1965,10,16.2,6.7
1965,11,9.6,2.2
1965,12,9.5,1.9
1966,1,6.1,1.5
1966,2,9.4,5.2
1966,3,10.9,2.3
1966,4,12.2,5.3
1966,5,16.1,6.3
1966,6,20.1,10.7
1966,7,20.3,10.8
1966,8,19.9,10.6
1966,9,19.2,9.3
1966,10,15,6.8
1966,11,9.4,1.9
1966,12,10.2,2.7
1967,1,7.6,1.4
1967,2,9.5,2
1967,3,11.3,3.9
1967,4,12.8,4.1
1967,5,14.8,7.3
1967,6,19.4,9.3
1967,7,21.5,11.3
1967,8,20.2,11.3
1967,9,17.9,10.5
1967,10,14.8,8.8
1967,11,9.9,1.3
1967,12,8,0.7
1968,1,8.1,1.7
1968,2,6.4,-1.6
1968,3,10.7,2.3
1968,4,12.7,2.8
1968,5,15,5.6
1968,6,19.3,10.6
1968,7,20,10.7
1968,8,19.9,12.1
1968,9,18.2,10.3
1968,10,16.1,10.5
1968,11,10.4,4.5
1968,12,6.9,1.2
1969,1,9.5,3.4
1969,2,5.7,-1.5
1969,3,8.9,1.1
1969,4,13.3,2.9
1969,5,15.5,7.3
1969,6,19.8,9
1969,7,22.2,11.5
1969,8,21,12.4
1969,9,18.7,10
1969,10,17.4,7.9
1969,11,10.3,2.3
1969,12,7.1,0.4
1970,1,7.9,1.6
1970,2,7.9,0.3
1970,3,8.6,0.1
1970,4,11.1,3
1970,5,17.8,6.7
1970,6,21.6,10.9
1970,7,20.3,11.1
1970,8,20.9,10.8
1970,9,19.4,10.2
1970,10,15.3,7
1970,11,12.4,5.1
1970,12,7.2,0.9
1971,1,8.2,2.8
1971,2,8.7,0
1971,3,9.1,1
1971,4,12.6,3.4
1971,5,16.8,6
1971,6,17.4,8.8
1971,7,22.9,11.7
1971,8,20.2,12.6
1971,9,20.2,7.8
1971,10,16.7,7
1971,11,10.8,0.1
1971,12,9.4,3.9
1972,1,7.5,1.7
1972,2,8.3,2.6
1972,3,12.1,2.4
1972,4,13.2,5
1972,5,14.4,6.8
1972,6,15.5,7.8
1972,7,20.6,11.1
1972,8,21,10.4
1972,9,17.3,7.1
1972,10,15,6.5
1972,11,10.4,2
1972,12,10.1,2.9
1973,1,7.8,1.3
1973,2,8.4,0.1
1973,3,11,0
1973,4,12.3,2.6
1973,5,15.9,7.3
1973,6,20.1,9.5
1973,7,20.9,11
1973,8,22.9,12
1973,9,19.8,10.3
1973,10,14.3,4.7
1973,11,11.1,2.5
1973,12,9.4,1.8
1974,1,10,3.9
1974,2,9.5,2
1974,3,10.3,2.2
1974,4,14.2,2.9
1974,5,15.9,5.9
1974,6,19.2,9.5
1974,7,19.7,11.7
1974,8,20.1,10.2
1974,9,16.6,8.7
1974,10,11.9,4.1
1974,11,11.2,4.8
1974,12,11.1,5.8
1975,1,10.5,3.8
1975,2,9.5,0.8
1975,3,8.9,1.8
1975,4,12.6,3.7
1975,5,15.2,6
1975,6,21.7,8.7
1975,7,22.6,12.3
1975,8,23.6,12.5
1975,9,18.4,8.6
1975,10,14.7,5.8
1975,11,11.1,2.2
1975,12,7.8,0.6
1976,1,9.1,2.8
1976,2,7.5,2.1
1976,3,9.6,0.7
1976,4,13.8,2.3
1976,5,17.4,7.1
1976,6,23.4,11
1976,7,24.9,13
1976,8,24.6,10.2
1976,9,18.1,9.1
1976,10,14.6,7.8
1976,11,10.5,2.5
1976,12,6.1,-1
1977,1,6.8,0.3
1977,2,9.6,3.5
1977,3,10.9,4.3
1977,4,11.8,3
1977,5,16.4,5.9
1977,6,16.5,8.5
1977,7,21.2,11.6
1977,8,20.1,10.9
1977,9,17.1,9.2
1977,10,16,8.6
1977,11,10.4,3.9
1977,12,9.9,4
1978,1,7.6,0.5
1978,2,6.1,0.1
1978,3,10.6,2.9
1978,4,10.7,3
1978,5,16.6,6
1978,6,18.7,9
1978,7,19.1,11.4
1978,8,19.8,10.7
1978,9,18.9,8.7
1978,10,16.4,7.3
1978,11,12.5,5
1978,12,8.6,3.1
1979,1,4.8,-3.9
1979,2,5.3,-1.5
1979,3,8.7,1.8
1979,4,12.2,4.3
1979,5,14.2,5.2
1979,6,18.1,9.6
1979,7,22.1,11.5
1979,8,19.2,10.7
1979,9,18,7.9
1979,10,15.8,7.8
1979,11,11.3,2.2
1979,12,9.6,3.1
1980,1,6.2,-2.3
1980,2,9.9,3.1
1980,3,8.8,1.7
1980,4,14.1,4
1980,5,17,5.4
1980,6,18.7,9.4
1980,7,19.1,10.3
1980,8,20.8,11.9
1980,9,18.9,11.3
1980,10,13.7,4.8
1980,11,9.4,3.6
1980,12,9.4,2.2
1981,1,8.6,1.7
1981,2,7.3,-0.8
1981,3,11.4,5.9
1981,4,13.2,3.9
1981,5,14.8,8
1981,6,17.7,9.4
1981,7,21.4,11.1
1981,8,22.5,10.8
1981,9,19.8,9.3
1981,10,12.7,5.1
1981,11,11.5,3.8
1981,12,6,-1.6
1982,1,7.2,0.9
1982,2,8.5,2.2
1982,3,10.5,1.4
1982,4,14.2,2.5
1982,5,17.2,6
1982,6,20.5,10.9
1982,7,22,11.7
1982,8,20.3,11.8
1982,9,19.7,9.3
1982,10,14.3,6.6
1982,11,11.8,5.8
1982,12,8.9,1.3
1983,1,10.1,4
1983,2,5.9,-0.9
1983,3,10.4,2.3
1983,4,11.4,2.7
1983,5,14.4,6.9
1983,6,19.5,10.6
1983,7,25.8,13.5
1983,8,23.9,11.5
1983,9,18.4,10
1983,10,14.6,6.7
1983,11,11.2,4.1
1983,12,9.9,2.2
1984,1,8.6,1
1984,2,7.9,0.8
1984,3,9,1.2
1984,4,14.4,1.6
1984,5,15.1,5.7
1984,6,20.6,9.2
1984,7,22.7,10.1
1984,8,23.2,11.6
1984,9,18.7,10
1984,10,15.3,7.2
1984,11,12.1,4.4
1984,12,9.7,0.9
1985,1,4.2,-3.4
1985,2,6.5,-0.8
1985,3,9,0.1
1985,4,13.6,3.7
1985,5,16.4,6.8
1985,6,18.2,8.9
1985,7,22,10.9
1985,8,19,11.4
1985,9,19.3,9.5
1985,10,15.1,7.1
1985,11,8.4,-0.1
1985,12,10,4.2
1986,1,8,0.1
1986,2,2.4,-3.3
1986,3,8.9,1.3
1986,4,10.3,1.5
1986,5,14.5,6.9
1986,6,20.7,9.8
1986,7,21.4,11.5
1986,8,18.5,10.2
1986,9,16.6,5.7
1986,10,15.8,6.9
1986,11,12.2,3.9
1986,12,10.2,2.2
1987,1,3.9,-1.7
1987,2,7.8,0.1
1987,3,8.8,1
1987,4,14.2,4.5
1987,5,16.2,5.8
1987,6,18.3,9
1987,7,21.8,11.1
1987,8,21.6,10.5
1987,9,18.8,10.1
1987,10,14.7,6.1
1987,11,10.4,3.3
1987,12,8.7,3.5
1988,1,9.3,2.8
1988,2,9.1,0.5
1988,3,10.7,3.6
1988,4,12.8,3.4
1988,5,17.4,7.6
1988,6,19.9,9.7
1988,7,18.9,11.4
1988,8,20.4,10.5
1988,9,18.3,9.5
1988,10,15.4,7.5
1988,11,10.8,0.7
1988,12,10.7,4
1989,1,10.1,2.3
1989,2,10.4,2
1989,3,12,4
1989,4,11.3,2.1
1989,5,19.9,7.3
1989,6,20.8,8.9
1989,7,24.9,12.4
1989,8,23,10.6
1989,9,20,9.8
1989,10,16.5,7.9
1989,11,11.3,3
1989,12,9.3,2.3
1990,1,10.5,4.1
