yyyy,mm,maxC,minC
1934,7,22.4,12.9
1934,8,20.8,12.1
1934,9,20.4,10.8
1934,10,14.6,8.2
1934,11,9.3,5.1
1934,12,10.1,6.5
1935,1,6.3,2.6
1935,2,8.4,3.6
1935,3,9.8,2.9
1935,4,11.4,5.5
1935,5,12.2,6.5
1935,6,19.2,11.3
1935,7,22.3,13.4
1935,8,22.2,13.1
1935,9,18.5,10.9
1935,10,14,7.4
1935,11,10.8,5.3
1935,12,6.1,1.9
1936,1,7.3,3.1
1936,2,5.8,0.9
1936,3,10.3,4.4
1936,4,9.7,3.9
1936,5,14.4,8
1936,6,19.7,11.2
1936,7,19.7,12.2
1936,8,20.6,12.6
1936,9,18.6,12.2
1936,10,13.2,6.8
1936,11,9.2,4.2
1936,12,7.9,2.8
1937,1,7.7,3.3
1937,2,8.9,3.8
1937,3,7.3,1.7
1937,4,12.1,6.2
1937,5,15.9,8.8
1937,6,19.1,10.8
1937,7,20.9,13.2
1937,8,21.5,13.9
1937,9,19,10.5
1937,10,14.7,8.9
1937,11,9.2,3.8
1937,12,5.9,2.2
1938,1,8.4,3.4
1938,2,7.5,2.2
1938,3,14,4.2
1938,4,10.8,3.3
1938,5,14.1,6.7
1938,6,19.8,10.5
1938,7,19.9,11.2
1938,8,20.2,12.8
1938,9,18.6,11.7
1938,10,14.3,7.2
1938,11,12.3,7.1
1938,12,5.9,2.2
1939,1,7.3,3.6
1939,2,8.6,2.7
1939,3,8.6,3.1
1939,4,12.7,5.4
1939,5,13.7,6.8
1939,6,17.4,10.4
1939,7,20.7,12.3
1939,8,20.7,12.7
1939,9,19.6,13
1939,10,12.4,7.5
1939,11,11.7,7.2
1939,12,5.4,1.8
1940,1,1.7,-2.3
1940,2,4.4,0.7
1940,3,9.6,2.7
1940,4,12.3,5.2
1940,5,16.4,7.7
1940,6,20.4,11.7
1940,7,19.9,11.8
1940,8,18.9,11.8
1940,9,18.3,11.9
1940,10,14,8.3
1940,11,9.3,4.6
1940,12,7.6,3.7
1941,1,2.4,-1.4
1941,2,1.3,-1.7
1941,3,7.3,1.8
1941,4,12.3,5.7
1941,5,12.6,6.2
1941,6,17.2,10.9
1941,7,21.6,13.9
1941,8,18.9,11.8
1941,9,18.3,11.9
1941,10,14,8.3
1941,11,9.3,4.6
1941,12,7.6,3.7
1942,1,2.4,-1.4
1942,2,1.3,-1.7
1942,3,7.3,1.8
1942,4,12.3,5.7
1942,5,15.2,7.2
1942,6,18.9,9.6
1942,7,19.9,12.5
1942,8,21.7,13.5
1942,9,18.8,11.3
1942,10,15.3,9.7
1942,11,9,4.4
1942,12,8.3,4.6
1943,1,7.3,3.4
1943,2,8.6,3.3
1943,3,10.2,3.4
1943,4,15.6,7.4
1943,5,17,9.2
1943,6,19.2,11
1943,7,20.6,13.1
1943,8,21.5,13.2
1943,9,18.4,10.7
1943,10,15.1,9.8
1943,11,9.2,5.1
1943,12,6.2,2.5
1944,1,8.7,4.5
1944,2,5.1,1.6
1944,3,7.9,1.7
1944,4,13.6,5.9
1944,5,15.3,6.9
1944,6,17.3,10.5
1944,7,20.2,13.5
1944,8,21.7,15.3
1944,9,15.6,10.1
1944,10,12.7,8.1
1944,11,9.4,4.9
1944,12,6.6,2.8
1945,1,2.9,-0.8
1945,2,10.7,4.9
1945,3,11.7,4.7
1945,4,14.1,6.8
1945,5,17.6,8.8
1945,6,20.1,11.4
1945,7,21.9,13.6
1945,8,19.9,13.3
1945,9,18.6,13.1
1945,10,16.2,9.6
1945,11,9.9,6.1
1945,12,8.2,3.3
1946,1,5.1,1.7
1946,2,8.6,4.2
1946,3,7.7,2.4
1946,4,13.8,5.3
1946,5,13.6,7.4
1946,6,17.6,9.8
1946,7,21.4,12.4
1946,8,19.6,12.1
1946,9,18.1,11.3
1946,10,13.5,9.3
1946,11,10.8,6.2
1946,12,5.3,0.8
1947,1,4.1,-0.2
1947,2,0.1,-2.5
1947,3,7.1,1.6
1947,4,13.1,5.1
1947,5,18.1,9.3
1947,6,20.8,12.2
1947,7,21.8,14.2
1947,8,22.3,15.6
1947,9,21,13
1947,10,15.7,7.9
1947,11,10.4,5.7
1947,12,7.4,3.5
1948,1,8.4,3.7
1948,2,7.3,2.4
1948,3,11.9,4.3
1948,4,13.4,5.7
1948,5,15,7.8
1948,6,18.5,10.8
1948,7,19.4,12.2
1948,8,19.6,12.3
1948,9,18.7,11
1948,10,14.6,7.8
1948,11,10.6,5.3
1948,12,8.5,4.3
1949,1,8.1,3.1
1949,2,9.4,2.6
1949,3,7.7,1.7
1949,4,14.8,6.4
1949,5,14.2,6.7
1949,6,18.4,9.9
1949,7,22.4,13.8
1949,8,22.5,13.7
1949,9,21.2,14.9
1949,10,16,9.7
1949,11,9.6,4.3
1949,12,8.5,4.1
1950,1,6.3,2.3
1950,2,9.4,4.3
1950,3,10.8,4.3
1950,4,11.5,4.2
1950,5,14.8,7.6
1950,6,21.7,12.1
1950,7,21.1,13.3
1950,8,21.2,13.1
1950,9,17.5,10.8
1950,10,13.6,8.1
1950,11,9.3,4.7
1950,12,3.4,-0.2
1951,1,7,3.3
1951,2,6.7,2.4
1951,3,7.5,3.2
1951,4,10.2,3.8
1951,5,13.1,7.9
1951,6,17.3,10.2
1951,7,21.3,12.9
1951,8,19.2,12.6
1951,9,18.3,12.5
1951,10,13.5,8.9
1951,11,11.4,6.9
1951,12,8.4,4.2
1952,1,5.9,2.1
1952,2,5.6,1.2
1952,3,9.1,4.5
1952,4,13.7,6.2
1952,5,17.7,9.1
1952,6,19.9,11.1
1952,7,21.9,14.2
1952,8,21.1,14.1
1952,9,15.9,9.7
1952,10,13.1,7.8
1952,11,7.2,3.4
1952,12,5.7,1.8
1953,1,4.8,1.8
1953,2,6.5,2.2
1953,3,8.6,2.3
1953,4,11.3,5.4
1953,5,15.2,7.9
1953,6,19.9,10.8
1953,7,20.5,12.6
1953,8,20.8,12.6
1953,9,20,12.8
1953,10,15.3,8.5
1953,11,9.8,4.9
1953,12,7.1,1.5
1961,1,6.6,1.5
1961,2,9.8,4
1961,3,12.9,3.8
1961,4,14.1,7
1961,5,15.2,7.9
1961,6,19.9,10.8
1961,7,20.5,12.6
1961,8,20.8,12.6
1961,9,20,12.8
