yyyy,mm,maxC,minC
1855,1,5,0.5
1855,2,2.4,-3.5
1855,3,7.9,0.8
1855,4,13.7,3.6
1855,5,15,5.6
1855,6,18.4,9.8
1855,7,21.5,12.6
1855,8,21.6,12.3
1855,9,19.6,9.6
1855,10,15.1,8.4
1855,11,8.7,3.6
1855,12,6.8,1
1856,1,7.9,2.8
1856,2,9,3.6
1856,3,8.9,1.4
1856,4,13.3,4.5
1856,5,15.2,6.4
1856,6,19.7,10.2
1856,7,21,11.6
1856,8,22.6,13.3
1856,9,18.1,8.8
1856,10,15.6,8.9
1856,11,10,2.4
1856,12,8.3,2.3
1857,1,6.9,0.5
1857,2,8.6,1
1857,3,10,2.6
1857,4,12.3,4.4
1857,5,17.6,7.7
1857,6,22.3,11.3
1857,7,22.1,12.8
1857,8,24.1,14
1857,9,20.4,11.9
1857,10,16.5,9.7
1857,11,12,6.1
1857,12,11.2,5.6
1858,1,8.1,1.1
1858,2,6.6,0.3
1858,3,9.9,1.6
1858,4,14,5.2
1858,5,16,6.9
1858,6,23.6,12.3
1858,7,20.9,10.9
1858,8,21.8,12.1
1858,9,20.2,12.2
1858,10,15,7.7
1858,11,8.4,1.8
1858,12,8.5,3.2
1859,1,8.3,2.5
1859,2,10.4,3.6
1859,3,12.5,5.5
1859,4,13.3,4.2
1859,5,17.2,7.9
1859,6,21,11.7
1859,7,25.1,14.5
1859,8,22.3,13.1
1859,9,18.1,10.5
1859,10,15,8.3
1859,11,10.5,3.3
1859,12,6.1,-0.4
1860,1,8.4,2.5
1860,2,6,-0.4
1860,3,9.3,2.8
1860,4,11.4,3
1860,5,17.4,8.1
1860,6,16.6,10.1
1860,7,19.5,11.1
1860,8,18.2,12
1860,9,16.5,8.6
1860,10,14.3,8.1
1860,11,8.8,2.9
1860,12,5.5,0.7
1861,1,4.8,-0.4
1861,2,8.9,3.2
1861,3,10.9,3.7
1861,4,13.7,3.4
1861,5,16.9,6.8
1861,6,20.4,11.9
1861,7,19.7,12.6
1861,8,21.4,12.9
1861,9,18.4,10
1861,10,17.2,10.7
1861,11,9.4,1.9
1861,12,8.4,2.8
1862,1,7.2,2.3
1862,2,8.5,3.8
1862,3,9.6,4
1862,4,13.2,6.5
1862,5,17.4,9.6
1862,6,17.9,9.2
1862,7,19.4,10.1
1862,8,20.2,10.5
1862,9,18.9,10.7
1862,10,15.5,8.7
1862,11,8.6,1.8
1862,12,9.8,4.6
1863,1,8.5,3.5
1863,2,9.8,3.3
1863,3,11.4,3.1
1863,4,14.6,5.3
1863,5,16.7,6.7
1863,6,18.9,10.2
1863,7,22.1,10.9
1863,8,21,13.1
1863,9,16.3,8.6
1863,10,14.9,9.1
1863,11,11.5,6
1863,12,10.1,4.4
1864,1,6.1,1.4
1864,2,5.6,0.3
1864,3,10.3,2.9
1864,4,14,5.2
1864,5,18.2,8.3
1864,6,18.5,10.2
1864,7,22.1,11.2
1864,8,20.9,10.2
1864,9,18.5,10.6
1864,10,14.3,7.3
1864,11,9.7,2.7
1864,12,6.4,1.3
1865,1,5.4,0.1
1865,2,5.9,0.7
1865,3,6.7,0
1865,4,17.6,6.6
1865,5,17.4,8.8
1865,6,22.2,11
1865,7,22,12.9
1865,8,20,11.4
1865,9,22.6,12.3
1865,10,15.8,8.1
1865,11,10.9,4.6
1865,12,8.6,3.6
1866,1,9.3,3.8
1866,2,9.1,2.9
1866,3,8.2,2.3
1866,4,13.5,5.9
1866,5,15.4,5.7
1866,6,20.8,11.6
1866,7,21.8,12.4
1866,8,19.7,12
1866,9,17,11.1
1866,10,15.1,8.7
1866,11,11.4,4.7
1866,12,9.9,4.3
1867,1,4.9,-1.2
1867,2,10.4,5.1
1867,3,6.8,1.2
1867,4,13.7,6.8
1867,5,16.2,7.8
1867,6,19.8,9.9
1867,7,20.2,11.4
1867,8,20.7,12.5
1867,9,18.8,10.9
1867,10,13.7,6.7
1867,11,9.5,2.3
1867,12,6.9,0.4
1868,1,5.8,1
1868,2,9.8,3.9
1868,3,10.8,3.7
1868,4,13.9,5.3
1868,5,18.9,9.1
1868,6,22.1,10.6
1868,7,25.9,13.7
1868,8,21.4,13.5
1868,9,20.6,11.1
1868,10,13.5,5.8
1868,11,8.6,3.1
1868,12,11,6.4
1869,1,8.8,3.4
1869,2,11,5.5
1869,3,7.4,1.5
1869,4,14.9,6.4
1869,5,14.7,7.6
1869,6,18.3,8.9
1869,7,22.5,12.5
1869,8,21.3,11.1
1869,9,18.6,11.8
1869,10,14,7.1
1869,11,10.9,3.5
1869,12,5.9,1.1
1870,1,6.6,2.2
1870,2,5.1,0.8
1870,3,8.6,2.1
1870,4,14.8,3.6
1870,5,17,6.6
1870,6,21.7,10.9
1870,7,23.8,13.4
1870,8,21.6,11.6
1870,9,18.6,9.7
1870,10,14.7,7.4
1870,11,9.7,3
1870,12,4,-1.2
1871,1,3.4,-0.8
1871,2,8.6,3.8
1871,3,11.7,4.2
1871,4,13.5,6.3
1871,5,16.7,6.5
1871,6,17.4,9
1871,7,20.4,12.6
1871,8,22.9,12.9
1871,9,18.5,10.6
1871,10,14.2,7
1871,11,7.5,1.5
1871,12,6.2,0.9
1872,1,8.2,2.4
1872,2,10.1,5.4
1872,3,10.7,4.7
1872,4,13.8,5.1
1872,5,15,6.3
1872,6,18.8,10.3
1872,7,22.8,13.3
